Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Alwan A.A.; Brimicombe A.J.; Ciupala M.A.; Ghorashi S.A.; Baravalle A.; Falcarin P.,"Alwan, Ahmed A. (57205541492); Brimicombe, Allan J. (6602141494); Ciupala, Mihaela Anca (55489930600); Ghorashi, Seyed Ali (6603117321); Baravalle, Andres (36460615300); Falcarin, Paolo (15065503900)",57205541492; 6602141494; 55489930600; 6603117321; 36460615300; 15065503900,Time-series clustering for sensor fault detection in large-scale CyberñPhysical Systems,2022,Computer Networks,218,,109384,,,,0,10.1016/j.comnet.2022.109384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140041140&doi=10.1016%2fj.comnet.2022.109384&partnerID=40&md5=9b2a93076ff9001806f0742f6adda016,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85140041140,,,,,,,,,,
Zha Y.; Zhong D.; Sun R.,"Zha, Yun (57216223011); Zhong, Deming (10043551600); Sun, Rui (56447739300)",57216223011; 10043551600; 56447739300,An interactive fault detection method for Cyber-Physical System based on System-Theoretic Process Analysis,2022,Proceedings of SPIE - The International Society for Optical Engineering,12244,,122443Z,,,,0,10.1117/12.2634935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132834881&doi=10.1117%2f12.2634935&partnerID=40&md5=cb2a874c941dc583776292516f5ab1a0,Conference paper,Final,,Scopus,2-s2.0-85132834881,,,,,,,,,,
Arama A.; Villeneuve E.; Merlo C.; Salvado L.L.,"Arama, Adama (57712431300); Villeneuve, Eric (56341210800); Merlo, Christophe (13405602100); Salvado, Laura Laguna (56940523000)",57712431300; 56341210800; 13405602100; 56940523000,An approach of decision support system for drift diagnosis in cyber-physical production systems,2022,"SysCon 2022 - 16th Annual IEEE International Systems Conference, Proceedings",,,,,,,1,10.1109/SysCon53536.2022.9773914,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130785961&doi=10.1109%2fSysCon53536.2022.9773914&partnerID=40&md5=25fcf6d028bdc641a3924155030d2160,Conference paper,Final,,Scopus,2-s2.0-85130785961,,,,,,,,,,
Kim D.; Han S.C.; Lin Y.; Kang B.H.; Lee S.,"Kim, Dohyeong (56146833700); Han, Soyeon Caren (55361191400); Lin, Yingru (57201524345); Kang, Byeong Ho (7401684499); Lee, Sungyoung (8956579500)",56146833700; 55361191400; 57201524345; 7401684499; 8956579500,RDR-based knowledge based system to the failure detection in industrial cyber physical systems,2018,Knowledge-Based Systems,150,,,1,13,12,20,10.1016/j.knosys.2018.02.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045190957&doi=10.1016%2fj.knosys.2018.02.009&partnerID=40&md5=640b2883d8a21bfd299f9c1e56cc47f1,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85045190957,,,,,,,,,,
Dutta A.K.; Negi R.; Shukla S.K.,"Dutta, Aneet Kumar (57212378730); Negi, Rohit (57210566926); Shukla, Sandeep Kumar (7202528532)",57212378730; 57210566926; 7202528532,Robust Multivariate Anomaly-Based Intrusion Detection System for Cyber-Physical Systems,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12716 LNCS,,,86,93,7,10,10.1007/978-3-030-78086-9_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111963683&doi=10.1007%2f978-3-030-78086-9_6&partnerID=40&md5=d3a9f06cfb1e40cc34069ae5a39bd6ad,Conference paper,Final,,Scopus,2-s2.0-85111963683,,,,,,,,,,
Harirchi F.; Ozay N.,"Harirchi, Farshad (24780325200); Ozay, Necmiye (23009866700)",24780325200; 23009866700,Guaranteed model-based fault detection in cyberñphysical systems: A model invalidation approach,2018,Automatica,93,,,476,488,12,35,10.1016/j.automatica.2018.03.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045200728&doi=10.1016%2fj.automatica.2018.03.040&partnerID=40&md5=ac8fa77179efae4256b8cd0ff73b0236,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85045200728,,,,,,,,,,
Yang J.; Zhou C.; Yang S.; Xu H.; Hu B.,"Yang, Jun (57840466500); Zhou, Chunjie (23983676100); Yang, Shuanghua (35726316400); Xu, Haizhou (57197736655); Hu, Bowen (57189216613)",57840466500; 23983676100; 35726316400; 57197736655; 57189216613,Anomaly Detection Based on Zone Partition for Security Protection of Industrial Cyber-Physical Systems,2018,IEEE Transactions on Industrial Electronics,65,5,8106743,4257,4267,10,85,10.1109/TIE.2017.2772190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034233199&doi=10.1109%2fTIE.2017.2772190&partnerID=40&md5=5a626d2179c8e58442403388a5f36256,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85034233199,,,,,,,,,,
Weber S.B.; Stein S.; Pilgermann M.; Schrader T.,"Weber, Simon B. (57966375500); Stein, Stefan (58262422400); Pilgermann, Michael (14054700600); Schrader, Thomas (7005775811)",57966375500; 58262422400; 14054700600; 7005775811,Attack Detection for Medical Cyber-Physical Systems-A Systematic Literature Review,2023,IEEE Access,11,,,41796,41815,19,0,10.1109/ACCESS.2023.3270225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159709641&doi=10.1109%2fACCESS.2023.3270225&partnerID=40&md5=5473af6dc32fff350d729b3b4e47289c,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85159709641,,,,,,,,,,
Yetis H.; Karakose M.,"Yetis, Hasan (57192676200); Karakose, Mehmet (8881363800)",57192676200; 8881363800,Image processing based anomaly detection approach for synchronous movements in cyber-physical systems,2018,"2018 23rd International Scientific-Professional Conference on Information Technology, IT 2018",2018-January,,,1,4,3,3,10.1109/SPIT.2018.8350461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050946876&doi=10.1109%2fSPIT.2018.8350461&partnerID=40&md5=6115ff688785de13c7af05df4c96a0e3,Conference paper,Final,,Scopus,2-s2.0-85050946876,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones A.; Kong Z.; Belta C.,"Jones, Austin (56874817000); Kong, Zhaodan (35791919800); Belta, Calin (6603902748)",56874817000; 35791919800; 6603902748,Anomaly detection in cyber-physical systems: A formal methods approach,2014,Proceedings of the IEEE Conference on Decision and Control,2015-February,February,7039487,848,853,5,78,10.1109/CDC.2014.7039487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988298974&doi=10.1109%2fCDC.2014.7039487&partnerID=40&md5=2e206e887a5978fef0609c73d72f3b8f,Conference paper,Final,,Scopus,2-s2.0-84988298974,,,,,,,,,,
Ramachandran A.; Gayathri K.; Alkhayyat A.; Malik R.Q.,"Ramachandran, A. (57210318653); Gayathri, K. (57214568055); Alkhayyat, Ahmed (56652165700); Malik, Rami Q. (57213831038)",57210318653; 57214568055; 56652165700; 57213831038,Aquila Optimization with Machine Learning-Based Anomaly Detection Technique in Cyber-Physical Systems,2023,Computer Systems Science and Engineering,46,2,,2177,2194,17,0,10.32604/csse.2023.034438,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148223896&doi=10.32604%2fcsse.2023.034438&partnerID=40&md5=cf7e1d984c7c9e4483f3f07979a2b473,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85148223896,,,,,,,,,,
You I.; Yim K.; Sharma V.; Choudhary G.; Chen I.-R.; Cho J.-H.,"You, Ilsun (14038401900); Yim, Kangbin (7005983616); Sharma, Vishal (55682655583); Choudhary, Gaurav (57202009598); Chen, Ing-Ray (7402043269); Cho, Jin-Hee (55474140000)",14038401900; 7005983616; 55682655583; 57202009598; 7402043269; 55474140000,On IoT misbehavior detection in cyber physical systems,2019,"Proceedings of IEEE Pacific Rim International Symposium on Dependable Computing, PRDC",2018-December,,8639568,189,190,1,14,10.1109/PRDC.2018.00033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062846413&doi=10.1109%2fPRDC.2018.00033&partnerID=40&md5=47ef30a2082acd36843f7050db50caa8,Conference paper,Final,,Scopus,2-s2.0-85062846413,,,,,,,,,,
Srivastava N.; Srivastava J.,"Srivastava, Nisheeth (27568147900); Srivastava, Jaideep (7102866191)",27568147900; 7102866191,A hybrid-logic approach towards fault detection in complex cyber-physical systems,2010,"Annual Conference of the Prognostics and Health Management Society, PHM 2010",,,,,,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920518109&partnerID=40&md5=ac0b3d41080477230a7fa6621636a3b0,Conference paper,Final,,Scopus,2-s2.0-84920518109,,,,,,,,,,
Liu X.; Zhou Y.; Wang Z.; Chen X.,"Liu, Xin (57200278081); Zhou, Yanju (22942740200); Wang, Zongrun (22942447900); Chen, Xiaohong (56888182800)",57200278081; 22942740200; 22942447900; 56888182800,A BP Neural Network-Based Communication Blind Signal Detection Method with Cyber-Physical-Social Systems,2018,IEEE Access,6,,8362612,43920,43935,15,8,10.1109/ACCESS.2018.2838123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047613969&doi=10.1109%2fACCESS.2018.2838123&partnerID=40&md5=dce33366eeffff8555b60aea95d35c92,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85047613969,,,,,,,,,,
Xu Q.; Ali S.; Yue T.,"Xu, Qinghua (57224580573); Ali, Shaukat (56962801700); Yue, Tao (25651096400)",57224580573; 56962801700; 25651096400,Digital Twin-based Anomaly Detection with Curriculum Learning in Cyber-physical Systems,2023,ACM Transactions on Software Engineering and Methodology,32,5,113,,,,0,10.1145/3582571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168769189&doi=10.1145%2f3582571&partnerID=40&md5=e8e41047164d5d11c33b56539e158777,Article,Final,,Scopus,2-s2.0-85168769189,,,,,,,,,,
Maier A.; Niggemann O.; Eickmeyer J.,"Maier, Alexander (56354962600); Niggemann, Oliver (15835261800); Eickmeyer, Jens (57035329400)",56354962600; 15835261800; 57035329400,On the learning of timing behavior for anomaly detection in cyber-physical production systems,2015,CEUR Workshop Proceedings,1507,,,217,224,7,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961310619&partnerID=40&md5=8a94368bff4a1e0d685fb85ae16be683,Conference paper,Final,,Scopus,2-s2.0-84961310619,,,,,,,,,,
Abokifa A.A.; Haddad K.; Lo C.S.; Biswas P.,"Abokifa, Ahmed A. (56979384600); Haddad, Kelsey (57189703257); Lo, Cynthia S. (36786289800); Biswas, Pratim (14031049800)",56979384600; 57189703257; 36786289800; 14031049800,Detection of Cyber Physical Attacks on Water Distribution Systems via Principal Component Analysis and Artificial Neural Networks,2017,World Environmental and Water Resources Congress 2017: Hydraulics and Waterways and Water Distribution Systems Analysis - Selected Papers from the World Environmental and Water Resources Congress 2017,,,,676,691,15,24,10.1061/9780784480625.063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021397645&doi=10.1061%2f9780784480625.063&partnerID=40&md5=cfb40a760799af677bc18ef4c7fb3ca6,Conference paper,Final,,Scopus,2-s2.0-85021397645,,,,,,,,,,
Zhu H.; Yi C.; Rho S.; Liu S.; Jiang F.,"Zhu, Haiqi (57022581900); Yi, Chunzhi (57202378236); Rho, Seungmin (10738984000); Liu, Shaohui (7409458485); Jiang, Feng (56681657800)",57022581900; 57202378236; 10738984000; 7409458485; 56681657800,An Interpretable Multivariate Time-series Anomaly Detection Method in Cyber-Physical Systems Based on Adaptive Mask,2023,IEEE Internet of Things Journal,,,,1,1,0,0,10.1109/JIOT.2023.3293860,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164737885&doi=10.1109%2fJIOT.2023.3293860&partnerID=40&md5=01bcbe59a4855afa52aa9c3710cbe5cc,Article,Article in press,,Scopus,2-s2.0-85164737885,,,,,,,,,,
Choudhary G.; Astillo P.V.; You I.; Yim K.; Chen I.-R.; Cho J.-H.,"Choudhary, Gaurav (57202009598); Astillo, Philip Virgil (57188880384); You, Ilsun (14038401900); Yim, Kangbin (7005983616); Chen, Ing-Ray (7402043269); Cho, Jin-Hee (55474140000)",57202009598; 57188880384; 14038401900; 7005983616; 7402043269; 55474140000,Lightweight Misbehavior Detection Management of Embedded IoT Devices in Medical Cyber Physical Systems,2020,IEEE Transactions on Network and Service Management,17,4,9138532,2496,2510,14,21,10.1109/TNSM.2020.3007535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089291797&doi=10.1109%2fTNSM.2020.3007535&partnerID=40&md5=aacbfc8553cf10ecd342087dcddd02c0,Article,Final,,Scopus,2-s2.0-85089291797,,,,,,,,,,
Du Y.; Huang Y.; Wan G.; He P.,"Du, Yan (57976564900); Huang, Yuanyuan (7501576338); Wan, Guogen (15021531000); He, Peilin (57211893458)",57976564900; 7501576338; 15021531000; 57211893458,Deep Learning-Based CyberñPhysical Feature Fusion for Anomaly Detection in Industrial Control Systems,2022,Mathematics,10,22,4373,,,,1,10.3390/math10224373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142448390&doi=10.3390%2fmath10224373&partnerID=40&md5=4eff032cd8b5a36c6f81e18b31f1eb1d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85142448390,,,,,,,,,,
Niggemann O.; Frey C.,"Niggemann, Oliver (15835261800); Frey, Christian (35615456900)",15835261800; 35615456900,Data-driven anomaly detection in cyber-physical production systems,2015,At-Automatisierungstechnik,63,10,,821,832,11,20,10.1515/auto-2015-0060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946748350&doi=10.1515%2fauto-2015-0060&partnerID=40&md5=cc43bee1f141547c3478b4d8f2580681,Article,Final,,Scopus,2-s2.0-84946748350,,,,,,,,,,
Chen J.; Zhou S.; Qiu Y.; Xu B.,"Chen, Jinyi (57215838655); Zhou, Suyang (57202577108); Qiu, Yue (57213519952); Xu, Boya (57220544051)",57215838655; 57202577108; 57213519952; 57220544051,An Anomaly Detection Method of Time Series Data for Cyber-Physical Integrated Energy System Based on Time-Frequency Feature Prediction,2022,Energies,15,15,5565,,,,2,10.3390/en15155565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136503497&doi=10.3390%2fen15155565&partnerID=40&md5=a8e6c1ce7c0b4ad0f8c23a0fe4aafb38,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85136503497,,,,,,,,,,
Alassery F.,"Alassery, Fawaz (56122445800)",56122445800,Predictive maintenance for cyber physical systems using neural network based on deep soft sensor and industrial internet of things,2022,Computers and Electrical Engineering,101,,108062,,,,2,10.1016/j.compeleceng.2022.108062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130150788&doi=10.1016%2fj.compeleceng.2022.108062&partnerID=40&md5=0f207e3b3d28b2388afc2448889c339a,Article,Final,,Scopus,2-s2.0-85130150788,,,,,,,,,,
Zhou X.; Kouzel M.; Alemzadeh H.,"Zhou, Xugui (57223747786); Kouzel, Maxfield (57656093100); Alemzadeh, Homa (24830080600)",57223747786; 57656093100; 24830080600,Robustness Testing of Data and Knowledge Driven Anomaly Detection in Cyber-Physical Systems,2022,"Proceedings - 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop Volume, DSN-W 2022",,,,44,51,7,2,10.1109/DSN-W54100.2022.00017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136088323&doi=10.1109%2fDSN-W54100.2022.00017&partnerID=40&md5=88079230a9ce6c00e43648239d31d45a,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85136088323,,,,,,,,,,
Sadreazami H.; Mohammadi A.; Asif A.; Plataniotis K.N.,"Sadreazami, Hamidreza (36337248900); Mohammadi, Arash (57202524232); Asif, Amir (7003843725); Plataniotis, Konstantinos N. (35510256100)",36337248900; 57202524232; 7003843725; 35510256100,Distributed-Graph-Based Statistical Approach for Intrusion Detection in Cyber-Physical Systems,2018,IEEE Transactions on Signal and Information Processing over Networks,4,1,,137,147,10,50,10.1109/TSIPN.2017.2749976,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049518158&doi=10.1109%2fTSIPN.2017.2749976&partnerID=40&md5=aba6f727b8d9b1f3c0237a4a7a86e185,Article,Final,,Scopus,2-s2.0-85049518158,,,,,,,,,,
Luo Y.; Xiao Y.; Cheng L.; Peng G.; Yao D.D.,"Luo, Yuan (57191668858); Xiao, Ya (57212111014); Cheng, Long (57169216600); Peng, Guojun (35732071400); Yao, Danfeng Daphne (8260545800)",57191668858; 57212111014; 57169216600; 35732071400; 8260545800,Deep Learning-based Anomaly Detection in Cyber-physical Systems: Progress and Opportunities,2021,ACM Computing Surveys,54,5,3453155,,,,66,10.1145/3453155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110361175&doi=10.1145%2f3453155&partnerID=40&md5=8100b99d76d38be454f72ba84da7aebc,Review,Final,,Scopus,2-s2.0-85110361175,,,,,,,,,,
Hussein S.K.; El-Dosuky M.A.,"Hussein, Sherif Kamel (58399788900); El-Dosuky, Mohamed A. (55797083000)",58399788900; 55797083000,ANOMALY DETECTION IN CYBER-PHYSICAL SYSTEMS USING EXPLAINABLE ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2023,Journal of Theoretical and Applied Information Technology,101,8,,3138,3151,13,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163430773&partnerID=40&md5=50fae3970625284d70c3067e31ff8753,Article,Final,,Scopus,2-s2.0-85163430773,,,,,,,,,,
Pousia S.; Mythili S.; Kalamani M.; Manjith R.; Tharanyaa J.P.S.; Jayabharathi C.,"Pousia, S. (57205417558); Mythili, S. (57345766700); Kalamani, M. (55994900500); Manjith, R. (36519418700); Tharanyaa, J. P. Shri (57368967100); Jayabharathi, C. (58396014600)",57205417558; 57345766700; 55994900500; 36519418700; 57368967100; 58396014600,Hybrid Convolutional Multilayer Perceptron for Cyber Physical Systems (HCMP-CPS),2023,Lecture Notes in Networks and Systems,647 LNNS,,,1053,1063,10,0,10.1007/978-3-031-27409-1_97,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163384860&doi=10.1007%2f978-3-031-27409-1_97&partnerID=40&md5=bf0dad2c161b419516ac4a139dce233b,Conference paper,Final,,Scopus,2-s2.0-85163384860,,,,,,,,,,
Jeffrey N.; Tan Q.; Villar J.R.,"Jeffrey, Nicholas (57793782800); Tan, Qing (24529398000); Villar, JosÈ R. (56221630500)",57793782800; 24529398000; 56221630500,A Review of Anomaly Detection Strategies to Detect Threats to Cyber-Physical Systems,2023,Electronics (Switzerland),12,15,3283,,,,0,10.3390/electronics12153283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167838924&doi=10.3390%2felectronics12153283&partnerID=40&md5=95f5abed609a4b6d34f0499c562bc524,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85167838924,,,,,,,,,,
Abokifa A.A.; Haddad K.; Lo C.; Biswas P.,"Abokifa, Ahmed A. (56979384600); Haddad, Kelsey (57189703257); Lo, Cynthia (36786289800); Biswas, Pratim (14031049800)",56979384600; 57189703257; 36786289800; 14031049800,Real-time identification of cyber-physical attacks on water distribution systems via machine learning-based anomaly detection techniques,2019,Journal of Water Resources Planning and Management,145,1,4018089,,,,41,10.1061/(ASCE)WR.1943-5452.0001023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056594612&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001023&partnerID=40&md5=6d5a3db053099b10eb306d43578d233f,Article,Final,,Scopus,2-s2.0-85056594612,,,,,,,,,,
Feng C.; Tian P.,"Feng, Cheng (57218844866); Tian, Pengwei (57219619233)",57218844866; 57219619233,Time Series Anomaly Detection for Cyber-physical Systems via Neural System Identification and Bayesian Filtering,2021,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,2858,2867,9,21,10.1145/3447548.3467137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114908282&doi=10.1145%2f3447548.3467137&partnerID=40&md5=ffe8069ff62dcd659aa3dc4db2dac4cd,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85114908282,,,,,,,,,,
Wu Z.; Wang Q.; Cai X.; Dai J.; Liu X.; Tian Q.,"Wu, Zhong (57218659406); Wang, Qi (57188692112); Cai, Xingpu (57208514489); Dai, Jianfeng (55751497800); Liu, Xuefei (57396344200); Tian, Qidong (57454757100)",57218659406; 57188692112; 57208514489; 55751497800; 57396344200; 57454757100,Methods of anomaly state detection for power systems based on bilateral cyber-physical information,2022,"IET Generation, Transmission and Distribution",16,7,,1449,1459,10,1,10.1049/gtd2.12382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122232647&doi=10.1049%2fgtd2.12382&partnerID=40&md5=063b336dcc3b3ee20f8446ca72522da9,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85122232647,,,,,,,,,,
Chen J.; Liu B.,"Chen, Jingzhao (57433785600); Liu, Bin (56202219400)",57433785600; 56202219400,On the Detectability of the Mode Division-based Anomaly Detector in Industrial Cyber-physical Systems,2022,"Chinese Control Conference, CCC",2022-July,,,4337,4342,5,0,10.23919/CCC55666.2022.9902218,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140459270&doi=10.23919%2fCCC55666.2022.9902218&partnerID=40&md5=63d2a3afac76e3c2dbf923106da3dce9,Conference paper,Final,,Scopus,2-s2.0-85140459270,,,,,,,,,,
Baek Y.; Jo M.,"Baek, Youngmi (14631688400); Jo, Minsu (57191886598)",14631688400; 57191886598,Adaptive threshold generation for fault detection with high dependability for cyber-physical systems,2018,Applied Sciences (Switzerland),8,11,2235,,,,1,10.3390/app8112235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056469204&doi=10.3390%2fapp8112235&partnerID=40&md5=47a6886126035cd1bbfb38fa6eab6baa,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85056469204,,,,,,,,,,
Alwan A.A.; Ciupala M.A.; Baravalle A.; Falcarin P.,"Alwan, Ahmed Abdulhasan (57205541492); Ciupala, Mihaela Anca (55489930600); Baravalle, Andres (36460615300); Falcarin, Paolo (15065503900)",57205541492; 55489930600; 36460615300; 15065503900,HADES: A Hybrid Anomaly Detection System for Large-Scale Cyber-Physical Systems,2020,"2020 5th International Conference on Fog and Mobile Edge Computing, FMEC 2020",,,9144751,136,142,6,3,10.1109/FMEC49853.2020.9144751,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094640219&doi=10.1109%2fFMEC49853.2020.9144751&partnerID=40&md5=450b39c30c7339fb4980995136ad160f,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85094640219,,,,,,,,,,
Ding S.; Morozov A.; Fabarisov T.; Vock S.,"Ding, Sheng (57215351077); Morozov, Andrey (57195572585); Fabarisov, Tagir (57215345453); Vock, Silvia (36706730300)",57215351077; 57195572585; 57215345453; 36706730300,KRAKENBOX: DEEP LEARNING-BASED ERROR DETECTOR FOR INDUSTRIAL CYBER-PHYSICAL SYSTEMS,2021,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",13,,V013T14A025,,,,0,10.1115/IMECE2021-70258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124533509&doi=10.1115%2fIMECE2021-70258&partnerID=40&md5=ee3b5dade4a0862618a867d12e27e77f,Conference paper,Final,,Scopus,2-s2.0-85124533509,,,,,,,,,,
Ma Y.; Morozov A.; Ding S.,"Ma, Yuliang (57450335500); Morozov, Andrey (57195572585); Ding, Sheng (57215351077)",57450335500; 57195572585; 57215351077,ANOMALY DETECTION FOR CYBER-PHYSICAL SYSTEMS USING TRANSFORMERS,2021,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",13,,V013T14A038,,,,1,10.1115/IMECE2021-69395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124535523&doi=10.1115%2fIMECE2021-69395&partnerID=40&md5=5909d9a4a5f091984fe6fb6054199917,Conference paper,Final,,Scopus,2-s2.0-85124535523,,,,,,,,,,
Xu Q.; Ali S.; Yue T.,"Xu, Qinghua (57224580573); Ali, Shaukat (56962801700); Yue, Tao (25651096400)",57224580573; 56962801700; 25651096400,Digital Twin-based Anomaly Detection in Cyber-physical Systems,2021,"Proceedings - 2021 IEEE 14th International Conference on Software Testing, Verification and Validation, ICST 2021",,,9438560,205,216,11,29,10.1109/ICST49551.2021.00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107958133&doi=10.1109%2fICST49551.2021.00031&partnerID=40&md5=d8ffed564d35e121668cb397f5527eb1,Conference paper,Final,,Scopus,2-s2.0-85107958133,,,,,,,,,,
Yang T.; Hao W.; Yang Q.; Wang W.,"Yang, Tao (57476765300); Hao, Weijie (57196450614); Yang, Qiang (57189235801); Wang, Wenhai (57784407100)",57476765300; 57196450614; 57189235801; 57784407100,Cloud-edge coordinated traffic anomaly detection for industrial cyber-physical systems,2023,Expert Systems with Applications,230,,120668,,,,0,10.1016/j.eswa.2023.120668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163131564&doi=10.1016%2fj.eswa.2023.120668&partnerID=40&md5=0a5ae865b8f261dc603c954f3d59aae4,Article,Final,,Scopus,2-s2.0-85163131564,,,,,,,,,,
Wang L.; Zhang Y.,"Wang, Liying (37018881600); Zhang, Yichao (57218104199)",37018881600; 57218104199,Linear approximation fuzzy model for fault detection in cyber-physical system for supply chain management,2020,Enterprise Information Systems,,,,1,18,17,7,10.1080/17517575.2020.1791361,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087889651&doi=10.1080%2f17517575.2020.1791361&partnerID=40&md5=8132df4f908890f4fc91e4f853cb3ee1,Article,Final,,Scopus,2-s2.0-85087889651,,,,,,,,,,
Nakayama K.; Muralidhar N.; Jin C.; Sharma R.,"Nakayama, Kiyoshi (36444849100); Muralidhar, Nikhil (57188815395); Jin, Chenrui (56195755600); Sharma, Ratnesh (55685417900)",36444849100; 57188815395; 56195755600; 55685417900,Detection of false data injection attacks in cyber-physical systems using dynamic invariants,2019,"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",,,8999069,1023,1030,7,1,10.1109/ICMLA.2019.00173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080871303&doi=10.1109%2fICMLA.2019.00173&partnerID=40&md5=ae8341fabd201e85eb9defd33cf086f8,Conference paper,Final,,Scopus,2-s2.0-85080871303,,,,,,,,,,
Guibene K.; Messai N.; Ayaida M.; Khoukhi L.,"Guibene, Khalil (57221705225); Messai, Nadhir (24376851300); Ayaida, Marwane (44860895000); Khoukhi, Lyes (55978551900)",57221705225; 24376851300; 44860895000; 55978551900,A Data Mining-based Intrusion Detection System for Cyber Physical Power Systems,2022,Q2SWinet 2022 - Proceedings of the 18th ACM International Symposium on QoS and Security for Wireless and Mobile Networks,,,,55,62,7,0,10.1145/3551661.3561367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141724548&doi=10.1145%2f3551661.3561367&partnerID=40&md5=9f7a69904e2cf51c76cc250712c20f50,Conference paper,Final,,Scopus,2-s2.0-85141724548,,,,,,,,,,
